押さえる	おさえる	to pin something down, to hold something down, to hold something back, to stop, to restrain, to curb., to seize, to grasp, to arrest., to gain control of something, to govern, to keep down (e.g. information), to suppress., to catch happening, to determine (important points), to find (proof), to understand.
割引	わりびき	discount, reduction, rebate, (after a number) tenths discounted, tenths reduced.
耐える	たえる, こらえる, こたえる	to bear, to stand, to endure, to put up with., to support, to withstand, to resist, to brave., to be fit for, to be equal to.
伯父	おじ, はくふ, しゅくふ	uncle.
受取り	うけとり	receipt.
物指	ものさし	ruler, measure.
乗り換え	のりかえ	transfer (trains, buses, etc.), connection, connexion., switching (stock)., chromosomal crossover, crossing over.
売り上げ	うりあげ	amount sold, sales, proceeds, takings, turnover.
締め切り	しめきり	deadline, closing, cut-off, end., cofferdam., closed (door, window, etc.).
住まい	すまい, じゅうきょ	dwelling, house, residence, address.
的確	てきかく, てっかく	precise, accurate.
足跡	あしあと, そくせき	footprints., record of page visitors (e.g. in social networking sites).
伯母	おば, はくぼ, しゅくぼ	aunt.
呼びかける	よびかける	to call out to, to accost, to address (crowd), to appeal.
思い切り	おもいきり, おもいっきり	with all one's strength, with all one's heart, resignation, resolution.
灯	ひ, とうか, ともしび	light, lamp, torch.
基準	きじゅん	standard, basis, criterion, norm, reference, datum.
塊	かたまり	lump, mass, bundle, clump, clod, cluster.
手続	てつづき	procedure, (legal) process, formalities.
交代	こうたい	alternation, change, relief, relay, shift, substitution (sports, etc.).
話し合い	はなしあい	discussion, conference.
主人	しゅじん	head (of a household), proprietor (of a store), proprietress, landlord, landlady., one's husband., (one's) employer, (one's) master., host, hostess.
付属	ふぞく	attached, belonging (to), included, enclosed, affiliated, annexed, associated, subordinate, incidental, dependent, auxiliary.
割	わり	rate, ratio, proportion, percentage., profit., assignment., 10%, unit of ten percent., match, schedule of matches., diluted with (of drinks), mixed with.
当たり前	あたりまえ	natural, reasonable, obvious., usual, common, ordinary, commonplace, the norm.
足下	あしもと, そっか	at one's feet, underfoot, one's step (as in "watch your step")., gait, pace, step., you, thou.
知り合い	しりあい	acquaintance.
牧場	ぼくじょう, まきば	farm (livestock), ranch (US), station (Aus, NZ)., pasture land, meadow, grazing land.
引き分け	ひきわけ	draw (in competition), tie game.
絞る	しぼる	to wring (towel, rag), to squeeze., to squeeze (fruit to extract juice), to press, to extract, to milk, to express milk., to rack (one's brains), to strain (one's voice)., to extort, to exploit., to chew out, to reprimand severely, to rake over the coals, to give a sound scolding, to tell someone off, to scold, to rebuke., to drill into, to train., to narrow down (one's focus), to whittle down., to gather up (curtain, etc.), to tighten (drawstring)., to stop down (lens)., to turn down (e.g. radio)., to bend (bow), to draw., to hold down, to constrict, to immobilize.
重体	じゅうたい	seriously ill, serious condition, critical state.
踏切	ふみきり	railway crossing, railroad crossing, train crossing, level crossing., starting line, scratch., determination., stepping over the edge of the ring.
街角	まちかど	street corner.
缶詰	かんづめ	packing (in cans), canning, canned goods, tin can., confining someone (e.g. so they can concentrate on work)., being stuck in a confined space.
逆さ	さかさ	reverse, inversion, upside down.
紅葉	こうよう, もみじ	autumn colours, fall colors, leaves changing color (colour)., leaves turning red, red leaves., leaves turning yellow, yellow leaves., (Japanese) maple (Acer japonicum)., venison.
白髪	しらが, はくはつ, しろかみ, しらかみ	white hair, grey hair, gray hair.
出入り口	でいりぐち	exit and entrance.
並行	へいこう	(going) side-by-side, abreast., concurrent, occurring together, at the same time., parallel.
百科事典	ひゃっかじてん	encyclopedia, encyclopaedia.
温まる	あたたまる, あったまる, ぬくまる	to warm oneself, to sun oneself, to warm up, to get warm.
改正	かいせい	revision, amendment, alteration.
強化	きょうか	strengthen, intensify, reinforce, solidify, enhancement.
交流	こうりゅう	(cultural) exchange, interchange, interaction, (inter-) mingling, (social, etc.) networking, intercourse., alternating current, AC.
構造	こうぞう	structure, construction.
姿勢	しせい	attitude, posture, stance, approach, carriage (of the body).
自ら	みずから	for one's self, personally.
自宅	じたく	one's home.
周辺	しゅうへん	circumference, outskirts, environs, around, in the area of, in the vicinity of., (computer) peripheral.
政党	せいとう	political party.
体制	たいせい	order, system, structure, set-up, organization, organisation.
対策	たいさく	measure, provision, step, countermeasure, counterplan, countermove.
段階	だんかい	grade, level, stage, class, phase, steps, order, gradation.
調整	ちょうせい	adjustment, regulation, coordination, reconciliation, tuning, fixing, tailoring.
長男	ちょうなん	eldest son (may be the only son), first-born son.
統一	とういつ	unity, consolidation, uniformity, unification, compatible.
方針	ほうしん	objective, plan, policy.
本部	ほんぶ	headquarters, head office, main office.
民間	みんかん	private, civilian, civil, popular, folk, unofficial.
民主	みんしゅ	democracy, popular sovereignty., democratic.
連合	れんごう	union, alliance, combination., RENGO (Japanese Trade Union Confederation).
延長	えんちょう	extension, elongation, prolongation, lengthening., Enchou era (923.4.11-931.4.26).
解散	かいさん	breakup, dissolution.
回答	かいとう	reply, answer.
開放	かいほう	open, throw open, liberalization, liberalisation.
観測	かんそく	observation.
基礎	きそ	foundation, basis.
基地	きち	base.
公共	こうきょう	public, community, public service, society, communal.
公式	こうしき	formality, formal, official., formula.
工事	こうじ	construction work, construction, work (related to construction, e.g. painting, concrete-pouring, etc.).
行方	ゆくえ	(one's) whereabouts., outcome.
国籍	こくせき	nationality.
国立	こくりつ	national.
資料	しりょう	materials, data, document.
自治	じち	self-government, autonomy., local (governmental) autonomy.
実績	じっせき	achievements, actual results, accomplishments, past results, track record.
実力	じつりょく	(real) ability, true strength, merit, efficiency, competency., arms, force.
受験	じゅけん	taking an examination (esp. school and university entrance).
就任	しゅうにん	inauguration, assumption of office.
集会	しゅうかい	meeting, assembly, gathering, congregation, convention, rally.
出場	しゅつじょう	(stage) appearance, performance., participation (e.g. in a tournament).
焦点	しょうてん	focus (e.g. photographic), focal point.
人事	じんじ	personnel affairs, human affairs, human resources, HR.
成立	せいりつ	coming into existence, arrangements, establishment, conclusion, completion., to come into existence, to be true, to hold (i.e. hold true).
整備	せいび	maintenance, servicing., putting in place, establishment, development, preparation, provision, outfitting.
狙い	ねらい	aim.
対立	たいりつ	confrontation, opposition, antagonism.
中間	ちゅうかん	middle, midway, interim.
直後	ちょくご	immediately following.
直前	ちょくぜん	just before.
通貨	つうか	currency.
停止	ていし, ちょうじ	suspension, interruption, stoppage, ban, standstill, halt, hang-up, deadlock, stalemate, abeyance., suspension of music, dance, etc. as a sign of mourning for a prominent person.
展開	てんかい	development, evolution, progressing, unfolding., expansion, spreading out, extending, deployment, building up.
南北	なんぼく	south and north.
日程	にってい	schedule, program, programme, agenda.
防止	ぼうし	prevention, check.
輸送	ゆそう	transport, transportation.
臨時	りんじ	temporary, special, extraordinary.
天皇	てんのう, すめらぎ, すめろぎ	Emperor of Japan.
少なくとも	すくなくとも	at least.
相互	そうご	mutual, reciprocal.
編集	へんしゅう	editing, compilation, editorial (e.g. committee).
為替	かわせ, かわし	money order, draft., exchange (e.g. foreign).
一定	いってい, いちじょう	fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized, standardised, certain, prescribed.
応援	おうえん	aid, assistance, help, reinforcement, rooting, barracking, support, cheering.
下車	げしゃ	alighting (from train, bus, etc.), getting off.
課税	かぜい	taxation.
過程	かてい	process, course, mechanism.
解放	かいほう	release, unleashing, liberation, emancipation, setting free., deallocation (of computer memory).
基盤	きばん	foundation, basis, base, footing.
期限	きげん	term, period, time frame., time limit, deadline, cutoff (date).
継続	けいぞく	continuation.
講師	こうし	lecturer.
合同	ごうどう	combination, union, incorporation, amalgamation, fusion., congruence.
撮影	さつえい	photography (still or motion), photographing, filming, shooting, (video) recording.
指定	してい	designation, specification, assignment, appointment, pointing at.
氏名	しめい, うじな	full name, identity.
私立	しりつ, わたくしりつ	private (establishment).
児童	じどう	children, juvenile.
勝負	しょうぶ	victory or defeat, match, contest, game, bout.
職場	しょくば	one's post, place of work, workplace.
新幹線	しんかんせん	bullet train (very high speed), Shinkansen.
申請	しんせい	application, request, petition.
制作	せいさく	work (film, book)., production, creation.
全力	ぜんりょく	all one's power, whole energy.
相撲	すもう, すまい	sumo wrestling., wrestler, rikishi.
追加	ついか	addition, supplement, append (e.g. to a file), appendix.
低下	ていか	fall, decline, lowering, deterioration, degradation.
電力	でんりょく	electric power.
東西	とうざい, ひがしにし	east and west., Orient and Occident, East and West., Ladies and Gentlemen!, Your attention, please!, roll-up, roll-up.
特定	とくてい	specific, special, particular.
年度	ねんど	fiscal year (usu. April 1 to March 31 in Japan), financial year., academic year, school year., product year.
売買	ばいばい	trade, buying and selling, trafficking (e.g. of humans, arms, drugs), dealing.
迫る	せまる, せる	to approach, to draw near, to be imminent., to press (someone for something), to urge, to compel.
発売	はつばい	sale, offering for sale, release (for sale), launch (product).
付近	ふきん	neighbourhood, neighborhood, vicinity, environs., approaching.
普及	ふきゅう	diffusion, spread, popularization, promulgation, familiarization.
部品	ぶひん	parts, accessories, components.
複数	ふくすう	several, plural, plurality, multiple.
本来	ほんらい	originally, primarily., essentially, naturally, by nature, in (and of) itself., proper, legal.
友好	ゆうこう	friendship.
来日	らいにち	arrival in Japan, coming to Japan, visit to Japan.
切っ掛け	きっかけ, キッカケ	chance, start, cue, excuse, motive, impetus, occasion.
意義	いぎ	meaning, significance.
移転	いてん	moving, relocation, transfer, demise.
演劇	えんげき	drama, theatre, theater, play.
火山	かざん	volcano.
過半数	かはんすう	majority.
解説	かいせつ	explanation, commentary, exposition, elucidation.
改造	かいぞう	remodeling, remodelling, restructuring., modding.
開会	かいかい	opening of a meeting.
学会	がっかい	scientific society, academic meeting, academic conference.
活躍	かつやく	activity (esp. energetic), great efforts, conspicuous service., to flourish, to participate actively, to play an active role.
感想	かんそう	impressions, thoughts.
原理	げんり	principle, theory, fundamental truth.
公害	こうがい	pollution, public nuisance, contamination.
項目	こうもく	(data) item, entry.
高級	こうきゅう	high class, high grade.
重点	じゅうてん	important point, lay stress on, colon, emphasis.
書店	しょてん	bookshop, bookstore.
助教授	じょきょうじゅ	assistant professor, associate professor.
商業	しょうぎょう	commerce, trade, business.
商社	しょうしゃ	trading company, firm.
小学生	しょうがくせい	elementary school student, primary school student, grade school student.
賞金	しょうきん	prize, monetary award.
森林	しんりん	forest, woods.
正	せい	(logical) true, regular., 10^40, ten thousand undecillion., original., positive, greater than zero.
正面	しょうめん	front, frontage, facade, main.
製作	せいさく	manufacture, production.
窓口	まどぐち	ticket window, teller window, counter., contact person, point of contact.
大学院	だいがくいん	graduate school.
短期	たんき	short term.
知人	ちじん	friend, acquaintance.
地帯	ちたい	area, zone, belt (of land).
竹	たけ	bamboo., middle (of a three-tier ranking system).
庁	ちょう	government office, agency, board.
長女	ちょうじょ	eldest daughter, first-born daughter.
定員	ていいん	fixed number of regular personnel, capacity (of boat, hall, aeroplane, airplane, etc.).
東洋	とうよう	Orient.
統計	とうけい	statistics.
特殊	とくしゅ	special, particular, peculiar, unique.
入社	にゅうしゃ	joining a company, getting a job with a company, entering a company.
農村	のうそん	agricultural community, farm village., rural.
発想	はっそう	idea, conception, way of thinking., expression.
反省	はんせい	reflection, reconsideration, introspection, meditation, contemplation., regret, repentance, remorse, being sorry.
標準	ひょうじゅん	standard, level, norm.
夫妻	ふさい	man and wife, married couple.
保健	ほけん	health preservation, hygiene, sanitation.
募集	ぼしゅう	recruiting, taking applications.
摩擦	まさつ	friction, rubbing, rubdown, chafe.
面積	めんせき	square measure, size (e.g. of land), area, surface.
予備	よび	preparation, preliminaries, reserve, spare.
先頭	せんとう	head, lead, vanguard, first.
中身	なかみ	contents, interior, substance, filling, (sword) blade.
羽	わ, ば, ぱ	counter for birds and rabbits.
育児	いくじ	childcare, nursing, upbringing.
一段	いちだん	more, much more, still more, all the more., step, rung, level, rank., paragraph, passage., Japanese verb group., first rank (in martial arts, etc.).
下旬	げじゅん	month (last third of).
回数	かいすう	number of times, frequency, count.
海洋	かいよう	ocean.
官庁	かんちょう	government office, government agency, authorities.
看板	かんばん	signboard, sign, billboard, hoarding, doorplate., draw, attraction, feature, highlight, spokesman, figurehead., reputation (of a shop)., appearance, look., closing time.
間もなく	まもなく	soon, before long, in a short time., (after verb) lacking time to ..., without time to ....
給与	きゅうよ	pay, salary, wages, allowance, grant, supply.
漁業	ぎょぎょう	fishing (industry).
競馬	けいば	horse racing.
形式	けいしき	form (as opposed to substance), formality., method, system, style., format, mode, appearance, form (something takes)., math expression.
芸能	げいのう	public entertainment, accomplishments, attainments.
血液	けつえき	blood.
公表	こうひょう	official announcement, proclamation.
工夫	くふう	scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously., dedication to spiritual improvement (esp. through Zen meditation).
広場	ひろば	plaza, (public) square, piazza, forum, open space.
行事	ぎょうじ	event, function.
主役	しゅやく	leading part, leading actor (actress).
終了	しゅうりょう	end, close, termination.
商店	しょうてん	shop, small store, business, firm.
将棋	しょうぎ	shogi, Japanese chess, xianqi.
消極的	しょうきょくてき	negative, half-hearted, passive, unmotivated, pessimistic.
上下	じょうげ	top and bottom, high and low, above and below, upper and lower ends, up and down., going up and down, rising and falling, fluctuating., going and coming back., upper and lower classes, ruler and ruled, the government and the people., first and second volumes.
診断	しんだん	diagnosis, medical examination.
推定	すいてい	presumption, assumption., estimation.
宣伝	せんでん	publicity, advertisement, advertising, propaganda.
体重	たいじゅう	body weight, one's weight.
地点	ちてん	site, point on a map, spot.
中旬	ちゅうじゅん	middle of a month, second third of a month.
電波	でんぱ	electro-magnetic wave, radio wave., nonsense.
登場	とうじょう	entry (on stage), appearance (on screen)., entrance, introduction (into a market).
都心	としん	city centre (center) (esp. capital city), urban centre, heart of city a metropolis.
当日	とうじつ	appointed day, very day.
透明	とうめい	transparency, cleanness.
俳句	はいく	haiku, 17-mora poem, usu. in 3 lines of 5, 7 and 5 morae.
発電	はつでん	generation (e.g. power).
要旨	ようし	point, essentials, gist, summary, fundamentals.
例外	れいがい	exception.
率直	そっちょく	frankness, candour, candor, openheartedness, directness.
以後	いご	after this, from now on, hereafter., thereafter, since (verb) (after -te form of verb), after (time), since (then).
往復	おうふく	making a round trip, going and returning, coming and going., round-trip ticket, return ticket., correspondence, exchanging (letters)., socializing, visiting one another.
温泉	おんせん	spa, hot spring, onsen.
貨物	かもつ, かぶつ	cargo, freight., money or assets.
外部	がいぶ	the outside., external.
学科	がっか	study subject, course of study., department (university, etc.).
気配	けはい, きはい	indication, sign, hint, presence, trend., quotation (esp. stock market).
強気	つよき	confident, assured, self-assured, firm, strong, cocksure., bullish (e.g. market).
努める	つとめる	to endeavor (endeavour), to try, to strive, to make an effort, to exert oneself, to be diligent.
区域	くいき	limits, boundary, domain, zone, sphere, territory., area (e.g. in programming languages).
原稿	げんこう	manuscript, copy.
高層	こうそう	multistory, multistoried, high-rise, high, tall.
高度	こうど	altitude, height, elevation., advanced, sophisticated, high-grade, strong.
高等	こうとう	high class, high grade.
作者	さくしゃ	author, authoress, writer, composer, artist.
死体	したい	dead body, corpse, cadaver.
実用	じつよう	practical use, utility.
縮小	しゅくしょう	reduction, curtailment.
水面	すいめん, みなも	water's surface.
前後	ぜんご	front and rear, front and back, before and behind., before and after., order, context., consequences., inversion, reversion, getting out of order., co-occurring., around, about, approximately, nearly.
全身	ぜんしん	whole (body), full-length (e.g. portrait)., systemic.
彫刻	ちょうこく	carving, engraving, sculpture.
通勤	つうきん	commuting to work.
発	はつ	departure, departing (from ...), departing (at time ...)., sending, sent (by ...), sent (at ...)., engine., green dragon tile (mahjong)., counter for gunshots, bursts of gas, etc., counter for bullets, bombs, etc., counter for blows (punches).
判事	はんじ	judge, judiciary.
半島	はんとう	peninsula.
敷地	しきち	site, plot, lot, grounds.
父母	ふぼ, ちちはは, ててはは, かぞいろは, ぶも, かぞいろ	father and mother, parents.
噴火	ふんか	eruption.
文芸	ぶんげい	literature, art and literature, belles-lettres.
放る	ほうる, ほる	to throw, to toss, to fling., to throw away, to discard., to neglect, to abandon, to leave alone, to give up on, to leave undone, to leave unfinished.
方面	ほうめん	direction, district, area., field (e.g. of study).
夜間	やかん	at night, nighttime.
役所	やくしょ	government office, public office.
欄	らん	column of text (e.g. in a newspaper)., field (in a form, web page, etc.).
列島	れっとう	archipelago, chain of islands.
銅	どう, あかがね	copper (Cu).
果たして	はたして	as was expected, just as one thought, sure enough, as a result., really? (in questions), ever?.
膨大	ぼうだい	huge, vast, enormous, colossal, extensive, multitudinous., swelling, expansion.
本の	ほんの	mere, only, just, not even (with negative verb).
安易	あんい	easy, simple., easy-going.
胃	い	stomach., Chinese "stomach" constellation (one of the 28 mansions).
一流	いちりゅう	first-class, top grade, foremost, top-notch, leading., characteristic, peculiar, unique., school (e.g. of a performance art)., one flag, one banner, one streamer.
架空	かくう	aerial, overhead., fiction, fictitious, imaginary, fanciful.
回転	かいてん	rotation (usu. around something), revolution, turning.
外科	げか	surgery., department of surgery (hospital, etc.).
楽器	がっき	musical instrument.
休業	きゅうぎょう	closed (e.g. store), business suspended, shutdown, holiday.
苦情	くじょう	complaint, troubles, objection, grievance.
空中	くうちゅう	sky, air.
計	けい	plan., meter, measuring device., (in) total, total (of).
原料	げんりょう	raw materials.
限度	げんど	limit, bounds.
古典	こてん	old book, classics, classic.
公正	こうせい	justice, fairness, impartiality.
再三	さいさん	again and again, repeatedly.
産地	さんち	producing area.
時速	じそく	speed (per hour).
自衛	じえい	self-defense, self-defence.
重量	じゅうりょう	weight., heavyweight boxer.
出張	しゅっちょう	official tour, business trip.
書道	しょどう	calligraphy.
姓	せい, しょう, そう	surname, family name., hereditary title (used in ancient Japan to denote rank and political standing).
成分	せいぶん	ingredient, component, composition.
生存	せいぞん	existence, being, survival., to exist, to live, to survive.
先端	せんたん	pointed end, tip, fine point, spearhead, cusp, vanguard, advanced, leading edge, apex (of a curve).
全般	ぜんぱん	(the) whole, universal, wholly, general.
素直	すなお	obedient, meek, docile, unaffected., honest, frank, upfront (about one's feelings).
倉庫	そうこ	storehouse, warehouse, godown.
相変わらず	あいかわらず	as ever, as usual, the same, still.
体系	たいけい	system, organization, organisation, architecture.
体操	たいそう	gymnastics, physical exercises, calisthenics.
大工	だいく	carpenter.
通知	つうち	notice, notification, report, posting.
通訳	つうやく	interpretation (i.e. oral translation), interpreter.
特色	とくしょく	characteristic, feature, idiosyncrasy, personal colour., spot color (in printing).
矛盾	むじゅん	contradiction, inconsistency.
面接	めんせつ	interview.
木材	もくざい	lumber, timber, wood.
役者	やくしゃ	actor, actress.
